freq,r_insample,r_loso,r_amplitude,p_uncorrected,p_fwe,null95
1.06,0.429424142897638,0.1572371809779508,0.17670028724989903,0.194,0.964,0.38260046367344297
1.065,0.38143377235384823,0.1341311872406998,0.2321866029384972,0.205,0.971,0.3879330886066195
1.07,0.2966103882840569,0.11138443345654288,0.28859035213256873,0.2215,0.9815,0.3827036949757814
1.075,0.30339125783238663,0.12644154355406173,0.3193484238001481,0.225,0.9735,0.40114879095880907
1.08,0.3664949874875473,0.09436553629713523,0.2853000427665462,0.2465,0.987,0.40274284995955173
1.085,0.3151360904708752,-0.21048475682069437,0.20819044736271894,0.6485,1.0,0.3920047457993933
1.09,0.09422019394869836,-0.2162523060536774,0.1315274678219179,0.6645,1.0,0.39928618893963713
1.095,0.22224191658002265,-0.19922143526251052,0.08417371233684891,0.676,1.0,0.39403847977606804
1.1,0.3561500052239686,-0.1957638790277006,0.0710299125428255,0.6635,1.0,0.3903794648486188
1.105,0.4276965003745078,0.06681270156364032,0.09935402308352309,0.267,0.9935,0.378364453180943
1.11,0.4213791973851974,0.15992412808274362,0.14937906256405944,0.173,0.962,0.3873647844662345
1.115,0.298708508170175,0.12277333319101612,0.20262857265732276,0.2065,0.9755,0.3837203381878361
1.12,0.246384078908461,0.13113365870318144,0.2361128315109115,0.2335,0.972,0.39627208953140564
1.125,0.2502983216618993,-0.42182633702663125,0.2140325868498197,0.876,1.0,0.3969102709983081
1.13,0.16198160790942978,-0.28900780006174676,0.15457753258931872,0.7525,1.0,0.39391480371369586
1.135,0.18674035041789158,-0.25424735545194976,0.11244257580032238,0.739,1.0,0.40373347332084164
1.14,0.33098767005078567,-0.2749817028286452,0.09070646006128323,0.764,1.0,0.4066433756398825
1.145,0.4022643446327283,0.16232634455052028,0.10343878110824525,0.187,0.961,0.3877160156424768
1.15,0.41191862562875936,0.16273499220970367,0.15107388829662316,0.1845,0.961,0.38180046225656017
1.155,0.34638670667955523,0.12739850332225486,0.20700613307402876,0.2065,0.973,0.37323128163285463
1.16,0.27724630392726585,0.12511207427261106,0.2559258444329005,0.219,0.9745,0.39433984841839737
1.165,0.2861259931437744,0.13977980490643263,0.26997591478550204,0.23,0.9705,0.41156498989815204
1.17,0.28115845879304396,0.043521770415878146,0.2417834986693632,0.3155,0.9975,0.40665519536373845
1.175,0.1990412627582889,-0.3563840123227618,0.19934196671961185,0.814,1.0,0.39649167688957676
1.18,0.1595472914190072,-0.3081522498581209,0.1502298722241985,0.796,1.0,0.40283626207545875
1.185,0.28106369240286383,-0.050343291955169955,0.1275071621449215,0.476,1.0,0.4105710127098754
1.19,0.3516072013304684,0.15167279921782445,0.12474565163628441,0.218,0.9665,0.4076687130845392
1.195,0.33654344324525903,0.14908394946590783,0.157545305054763,0.202,0.9675,0.40209958961127823
1.2,0.2822606647886659,0.14153882132716106,0.220761605757429,0.2,0.97,0.3890761418141951
1.205,0.34484772943934233,0.1611215204021049,0.2740346269092341,0.203,0.9615,0.4063866388634942
1.21,0.4118079910904251,0.1902898459544446,0.25785485635569727,0.173,0.9425,0.4078024327857925
1.215,0.3949236899101258,-0.08570798563572915,0.21746584014285644,0.477,1.0,0.387612667617197
1.22,0.2588220846337262,-0.20996755865676325,0.17300293986299026,0.649,1.0,0.404925519228461
1.225,0.13836860431687034,-0.21926183097274898,0.13306473069979716,0.6965,1.0,0.40518902053148265
1.23,0.17462618089258644,-0.2452065383228258,0.10387492254853883,0.745,1.0,0.4142591235120062
1.235,0.2160607681910611,0.0708268341879901,0.09845744319877724,0.291,0.9935,0.41396184292143645
1.24,0.21895607075285373,0.12554092531561062,0.13036943026328626,0.2295,0.974,0.4052089964202409
1.245,0.29937696697104466,0.15412138417830262,0.16955544486594795,0.21,0.965,0.4096959808738469
1.25,0.4007028000977736,0.1545957634884104,0.1855835466038947,0.224,0.965,0.4173429808414104
1.255,0.4250993577070341,-0.13677165620295265,0.15134853804387274,0.5915,1.0,0.4002931948676684
1.26,0.3026518349044167,-0.1871323467928156,0.1148475285185772,0.637,1.0,0.3957293045750545
1.265,0.09863714735363287,-0.20310381620857945,0.0902951342935933,0.69,1.0,0.41327193322138234
1.27,0.18392852067689042,-0.19434402754717114,0.08253350497903451,0.7055,1.0,0.42309650674448124
1.275,0.2829300870358716,-0.20962725140251598,0.0891770349773977,0.707,1.0,0.41685500627981553
1.28,0.3262216222562847,0.10397817577886062,0.1214556204819028,0.261,0.983,0.40063716758055545
1.285,0.2772626234287682,0.14016391168260633,0.16398988513282217,0.22,0.97,0.39673274892412763
1.29,0.23534871824878842,0.15676340464064448,0.2002152868187852,0.223,0.9645,0.4143216312617226
1.295,0.316099951140072,0.16171884194909858,0.2114215119422172,0.221,0.961,0.4161641566198636
1.3,0.39444983898014535,0.03081486157449004,0.1765812634446406,0.318,0.999,0.40303408645382277
1.305,0.3391830975934592,-0.18027548397045157,0.14620321666504443,0.639,1.0,0.39766270483217453
1.31,0.14573484923903957,-0.1998732833360902,0.1333364052579076,0.708,1.0,0.41366351261002776
1.315,0.13557694193875633,-0.20532138656592586,0.14484437742499034,0.7145,1.0,0.40953007808654374
1.32,0.21798598234296085,-0.233301199211634,0.17927419961092267,0.709,1.0,0.40714719418992434
1.325,0.3025703365938151,-0.2703275999189971,0.22931882820979008,0.7095,1.0,0.3881250258339711
1.33,0.28354779616547027,0.04892941519620105,0.2785419681282775,0.314,0.996,0.39465038600272706
1.335,0.2174076067648062,-0.054676948854461574,0.26926515191945144,0.482,1.0,0.4028137922571765
1.34,0.1972010708213508,-0.7578005063787565,0.23651925873637583,0.996,1.0,0.3972275422483793
1.345,0.21080346891776314,-0.8216827360687905,0.20198620495172168,0.996,1.0,0.3841923245291289
1.35,0.24624290911085334,-0.2619056389929049,0.17013217265636155,0.701,1.0,0.3884367074234777
1.355,0.2704696959492153,0.043546030391603936,0.14361636215747597,0.2855,0.9975,0.3889286706175854
1.36,0.268263617496801,0.09962762165054274,0.12320731322029146,0.2275,0.985,0.3952918038916371
1.365,0.24718524107582085,0.11275982826927516,0.11330693068687608,0.216,0.981,0.3947303161959924
